run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
3,2026-04-25T17:46:04Z,20260425T174604Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,20,16,16,500,83641556,78589556,163.362414,153.495227,1306899.312500,1227961.812500,2613.798625,2455.923625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-25T17:46:04Z,20260425T174604Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,20,16,16,200,128304656,120139856,156.621895,146.655098,2004760.250000,1877185.250000,10023.801250,9385.926250,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-25T17:46:04Z,20260425T174604Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,20,16,16,100,253848356,237477956,154.936741,144.945042,3966380.562500,3710593.062500,39663.805625,37105.930625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,20,16,16,1000,11673056,11649056,729.566000,728.066000,182391.500000,182016.500000,182.391500,182.016500,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,20,16,16,1000,19083056,18579056,298.172750,290.297750,298172.750000,290297.750000,298.172750,290.297750,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,20,16,16,1000,48723056,46299056,190.324437,180.855687,761297.750000,723422.750000,761.297750,723.422750,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,20,16,16,500,83641556,78589556,163.362414,153.495227,1306899.312500,1227961.812500,2613.798625,2455.923625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,20,16,16,200,128304656,120139856,156.621895,146.655098,2004760.250000,1877185.250000,10023.801250,9385.926250,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-25T17:46:51Z,20260425T174651Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,20,16,16,100,253848356,237477956,154.936741,144.945042,3966380.562500,3710593.062500,39663.805625,37105.930625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,20,16,16,1000,11673056,11649056,729.566000,728.066000,182391.500000,182016.500000,182.391500,182.016500,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,20,16,16,1000,19083056,18579056,298.172750,290.297750,298172.750000,290297.750000,298.172750,290.297750,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,20,16,16,1000,48723056,46299056,190.324437,180.855687,761297.750000,723422.750000,761.297750,723.422750,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,20,16,16,500,83641556,78589556,163.362414,153.495227,1306899.312500,1227961.812500,2613.798625,2455.923625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,20,16,16,200,128304656,120139856,156.621895,146.655098,2004760.250000,1877185.250000,10023.801250,9385.926250,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-25T17:47:38Z,20260425T174738Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,20,16,16,100,253848356,237477956,154.936741,144.945042,3966380.562500,3710593.062500,39663.805625,37105.930625,34504,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
