run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
3,2026-04-23T02:06:52Z,20260423T020652Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,171670846,161435282,104.779569,98.532277,953726.922222,896862.677778,9537.269222,8968.626778,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,9958290,9926274,622.393125,620.392125,55323.833333,55145.966667,55.323833,55.145967,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,14963393,14631314,233.803016,228.614281,83129.961111,81285.077778,83.129961,81.285078,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,34983905,33451321,136.655879,130.669223,194355.027778,185840.672222,194.355028,185.840672,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,57532974,54366195,112.369090,106.183975,319627.633333,302034.416667,639.255267,604.068833,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,87078786,81971272,106.297346,100.062588,483771.033333,455395.955556,2418.855167,2276.979778,40628,68616,0,0,0,0,0,0,0,1,
4,2026-04-23T02:07:09Z,20260423T020709Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,171670846,161435282,104.779569,98.532277,953726.922222,896862.677778,9537.269222,8968.626778,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,9958290,9926274,622.393125,620.392125,55323.833333,55145.966667,55.323833,55.145967,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,14963393,14631314,233.803016,228.614281,83129.961111,81285.077778,83.129961,81.285078,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,34983905,33451321,136.655879,130.669223,194355.027778,185840.672222,194.355028,185.840672,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,57532974,54366195,112.369090,106.183975,319627.633333,302034.416667,639.255267,604.068833,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,87078786,81971272,106.297346,100.062588,483771.033333,455395.955556,2418.855167,2276.979778,40628,68616,0,0,0,0,0,0,0,1,
5,2026-04-23T02:07:26Z,20260423T020726Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,171670846,161435282,104.779569,98.532277,953726.922222,896862.677778,9537.269222,8968.626778,40628,68616,0,0,0,0,0,0,0,1,
